"City","City Area (km2)","Metro Area (km2)","People","City Population (millions)","Metro Population (millions)","Foreign Born","Annual Population Growth","Economy","GDP Per Capita (thousands $, PPP rates, per resident)","Primary Industry","Secondary Industry","Share of Global 500 Companies (%)","Unemployment Rate","Poverty Rate","Transportation","Public Transportation","Mass Transit Commuters","Major Airports","Major Ports","Education","Students Enrolled in Higher Education","Percent of Population with Higher Education (%)","Higher Education Institutions","Tourism","Total Tourists Annually (millions)","Foreign Tourists Annually (millions)","Domestic Tourists Annually (millions)","Annual Tourism Revenue ($US billions)","Hotel Rooms (thousands)","Health","Infant Mortality (Deaths per 1,000 Births)","Life Expectancy in Years (Male)","Life Expectancy in Years (Female)","Physicians per 100,000 People","Number of Hospitals","Anti-Smoking Legislation","Culture","Number of Museums","Number of Cultural and Arts Organizations","Environment","Green Spaces (km2)","Air Quality*","Laws or Regulations to Improve Energy Efficiency","Retrofitted City Vehicle Fleet","Bike Share Program"
"Lima","2670.4","2800","Lima","7.61","8.48","-----","0.021","Lima","17.3","Agriculture","Utilities","","0.074","0.153","Lima","Bus, Rail","-----","1","1","Lima","342220","0.43","27","Lima","13.13","3.59","9.55","-----","58.99","Lima","10.9","74","79","122.8","42","Yes","Lima","56","35","Lima","0.0875","78","Yes","-----","No"
"Lisbon","84.9","2940.1","Lisbon","0.49","2.82","0.0071","-0.0219","Lisbon","31.5","-----","-----","0.004","0.07","-----","Lisbon","Metro, Tram, Bus, Rail","-----","1","1","Lisbon","-----","0.24","98","Lisbon","3","0.18","0.9","-----","15296","Lisbon","4.4","79","79","54","33","Yes","Lisbon","59","-----","Lisbon","0.16","30","Yes","No","-----"
"Los Angeles","321","1584","Los Angeles","8.2","9.01","0.31","0.0085","Los Angeles","66223","Real Estate & Rental & Leasing","Finance & Insurance","0.032","0.078","0.16","Los Angeles","Subway, Bus, Rail, Ferry, Cycling, Bikeshare","0.499","5","1","Los Angeles","426000","0.42","40","Los Angeles","26.3","15.2","11.1","19","100.12","Los Angeles","4.6","79","83.3","-----","255","Yes","Los Angeles","237","444","Los Angeles","0.1386","23","Yes","Yes","Yes"
"Madrid","605.77","8022","Madrid","3.2","6.5","0.175","0.006","Madrid","40","Information","Professional Services","0.012","0.16","-----","Madrid","Subway, Commuter Rail, Bus, Bikeshare","-----","3","1","Madrid","231183","0.29","16","Madrid","14","9.5","8","-----","-----","Madrid","0.45","79","85","568.2","52","-----","Madrid","350","138","Madrid","0.09","26","Yes","Yes","Yes"
"Manila","25","636","Manila","1.66","11.57","-----","0.0068","Manila","13","Manufacturing","Private Services","","0.125","0.071","Manila","Rail, Bus, Pedicab, Jeepney","-----","1","1","Manila","-----","0.157","38","Manila","1.44","-----","-----","-----","14.42","Manila","-----","-----","-----","-----","33","Yes","Manila","11","33","Manila","-----","47","-----","-----","-----"
"Melbourne","37.6","7694","Melbourne","0.097","3.9","0.417","0.058","Melbourne","41.4","Professional and Technical services","Finance and Insurance","0.004","0.055","-----","Melbourne","Bus, Rail, Tram, Ferry, Bikeshare","0.102","2","1","Melbourne","23320","0.36","9","Melbourne","10.8","1.1","20.5","$9.7","16.9","Melbourne","3.8","80","84","-----","17","Yes","Melbourne","12","-----","Melbourne","-----","14","Yes","-----","Yes"
"Mexico City","1499","-----","Mexico City","8.72","19.98","0.102","-----","Mexico City","19.9","-----","-----","0.004","0.087","0.4","Mexico City","Subway, Bus, Rail, Bikeshare","0.65","3","-----","Mexico City","-----","-----","31","Mexico City","11","1.8","9.2","$3.5","48.7","Mexico City","-----","80.3","82.1","-----","-----","Yes","Mexico City","113","141","Mexico City","0.022","52","Yes","Yes","Yes"
"Milan","181.76","12000","Milan","1.32","3.7","0.164","0.0124","Milan","39.7","Retail and Wholesale","Business Services","0.06","0.042","0.129","Milan","Bus, Subway, Tram, Bikeshare","-----","3","-----","Milan","162265","0.37","13","Milan","-----","-----","-----","-----","26.44","Milan","3.4","-----","-----","-----","9","Yes","Milan","57","-----","Milan","0.115","44","Yes","-----","Yes"
"Moscow","1081","-----","Moscow","10.56","14.9","0.109","0.002","Moscow","44.8","Chemical, Metallurgy, Food, Textile, Furniture, Energy Production","Software Development, Machinery Industries","0.012","0.0098","0.105","Moscow","Bus, Trolley, Tram, Subway, Rail","-----","3","","Moscow","-----","0.14","264","Moscow","-----","4.1","-----","-----","75","Moscow","6.5","61","76","-----","252","Yes","Moscow","64","317","Moscow","0.0047","33","Yes","-----","-----"
"Mumbai","67.79","437.71","Mumbai","11.98","18","-----","0.0187","Mumbai","5.9","Manufacturing","Retail","0.012","0.117","-----","Mumbai","Bus, Rail, Taxi, Ferry","0.88","1","1","Mumbai","-----","-----","12","Mumbai","-----","-----","-----","-----","-----","Mumbai","34.57","53","58","-----","32","No","Mumbai","4","2","Mumbai","0.06","132","-----","-----","No"
"New York City","789","31815","New York City","8.2","19.05","0.36","0.01","New York City","67762","Professional Services","Finance and Insurance","0.036","0.077","0.194","New York City","Bus, Subway, Ferry, Rail","0.8","3","1","New York City","652879","0.337","110","New York City","50.9","10.6","40.3","$34.5","90","New York City","4.7","78.1","83.3","393","59","Yes","New York City","86","881","New York City","14","21","Yes","Yes","Yes"
